               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,           0.0053217,           0.0052527,            0.003015,             0.88145,             0.89362,             0.93107,             0.74546,           0.0073175,           0.0026357,           0.0041892,           0.0008173,           0.0008173,           0.0008173
                  91,           0.0053069,            0.005043,             0.00276,             0.89695,             0.89633,             0.92794,             0.74719,           0.0071702,           0.0026302,           0.0041094,          0.00078896,          0.00078896,          0.00078896
                  92,           0.0052961,           0.0052787,           0.0028652,             0.89268,             0.88409,             0.92732,             0.74648,            0.007028,           0.0026352,           0.0042189,          0.00076061,          0.00076061,          0.00076061
                  93,           0.0052917,           0.0050914,           0.0028246,             0.88086,             0.88771,             0.93053,             0.75241,           0.0070361,           0.0026302,           0.0041705,          0.00073227,          0.00073227,          0.00073227
                  94,           0.0052324,           0.0050763,           0.0028136,             0.88466,             0.89194,             0.92863,             0.74102,           0.0073496,           0.0026381,           0.0042585,          0.00070392,          0.00070392,          0.00070392
                  95,           0.0051949,            0.005082,           0.0027231,             0.88294,             0.90017,             0.92917,             0.75592,           0.0070069,           0.0026382,           0.0040936,          0.00067558,          0.00067558,          0.00067558
                  96,           0.0050757,            0.004959,            0.002635,              0.8917,             0.89332,             0.92985,               0.749,           0.0071201,           0.0026403,           0.0040526,          0.00064723,          0.00064723,          0.00064723
                  97,           0.0051779,           0.0048964,           0.0025098,             0.88568,             0.88687,             0.93071,             0.74894,           0.0072221,           0.0026426,           0.0039976,          0.00061889,          0.00061889,          0.00061889
                  98,            0.005126,           0.0050446,           0.0026781,             0.88231,              0.8955,             0.93062,             0.74367,           0.0074074,           0.0026361,           0.0041367,          0.00059054,          0.00059054,          0.00059054
                  99,           0.0051248,           0.0050119,            0.002643,             0.89126,             0.88965,              0.9273,             0.75087,           0.0072246,           0.0026093,           0.0040021,           0.0005622,           0.0005622,           0.0005622
