               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.023042,            0.010093,            0.024604,             0.85896,             0.84658,             0.92961,             0.71991,            0.015816,           0.0034239,            0.012927,            0.006898,            0.006898,            0.006898
                  49,            0.022827,            0.010447,            0.023797,             0.84802,             0.86209,             0.91447,              0.6934,             0.01673,           0.0033449,             0.01394,            0.006832,            0.006832,            0.006832
                  50,            0.022595,            0.010145,            0.023971,             0.80539,             0.85672,             0.90074,             0.66953,            0.018196,           0.0032552,             0.01355,            0.006766,            0.006766,            0.006766
                  51,            0.022846,             0.01006,             0.02533,             0.82508,             0.85932,             0.93277,             0.73354,            0.015283,           0.0032204,            0.012706,              0.0067,              0.0067,              0.0067
                  52,            0.022514,              0.0101,            0.024443,             0.79047,             0.90835,             0.94267,             0.68896,            0.019057,           0.0033101,            0.011744,            0.006634,            0.006634,            0.006634
                  53,            0.022331,            0.010278,            0.022971,             0.85077,              0.8407,             0.90479,             0.70275,            0.016064,           0.0032013,            0.014436,            0.006568,            0.006568,            0.006568
                  54,            0.021979,           0.0098601,            0.022926,             0.88431,             0.87924,             0.94778,             0.70195,            0.017853,           0.0032488,            0.011584,            0.006502,            0.006502,            0.006502
                  55,            0.022065,           0.0098665,             0.02382,             0.87994,             0.87196,             0.94241,             0.68829,            0.018806,           0.0031772,            0.011716,            0.006436,            0.006436,            0.006436
                  56,            0.021843,           0.0099087,            0.023438,             0.87799,             0.86742,             0.93379,             0.68687,            0.017362,           0.0032732,            0.013729,             0.00637,             0.00637,             0.00637
                  57,            0.022052,           0.0097254,            0.022717,             0.90327,             0.88236,             0.93897,             0.62865,            0.019641,           0.0032231,             0.01086,            0.006304,            0.006304,            0.006304
                  58,            0.021457,           0.0097887,            0.023209,             0.85765,             0.80519,             0.91306,               0.702,            0.016601,           0.0031808,            0.014847,            0.006238,            0.006238,            0.006238
                  59,            0.021547,           0.0098062,            0.021777,             0.86324,             0.85013,             0.92695,             0.67696,            0.019689,           0.0032041,             0.01241,            0.006172,            0.006172,            0.006172
                  60,            0.021542,           0.0097533,            0.021869,             0.88698,             0.87755,             0.95037,             0.74445,            0.016019,           0.0033208,            0.011174,            0.006106,            0.006106,            0.006106
                  61,              0.0207,           0.0099861,            0.022333,             0.90499,             0.88401,             0.93877,             0.68197,            0.018589,           0.0032636,            0.010437,             0.00604,             0.00604,             0.00604
                  62,            0.021214,           0.0095376,             0.02091,              0.8542,              0.8849,             0.94306,             0.72713,            0.016415,           0.0031834,            0.012288,            0.005974,            0.005974,            0.005974
                  63,            0.021396,           0.0097946,            0.019227,             0.83101,             0.86993,             0.92249,             0.70067,             0.01575,           0.0032274,             0.01221,            0.005908,            0.005908,            0.005908
                  64,             0.02148,           0.0096876,            0.019443,             0.84074,             0.87913,             0.91418,             0.71575,            0.015913,            0.003101,            0.012913,            0.005842,            0.005842,            0.005842
                  65,            0.021524,           0.0094082,            0.021174,             0.88539,              0.8606,             0.93062,             0.70909,            0.016023,            0.003232,            0.014912,            0.005776,            0.005776,            0.005776
                  66,             0.02104,           0.0097263,            0.021123,             0.89501,              0.8636,             0.93999,             0.72887,            0.016502,           0.0030538,             0.01117,             0.00571,             0.00571,             0.00571
                  67,            0.020911,           0.0095497,            0.018861,             0.88502,             0.84255,             0.93226,              0.7066,            0.016521,           0.0032254,            0.011458,            0.005644,            0.005644,            0.005644
                  68,            0.020966,           0.0096362,            0.018624,             0.90302,             0.83713,             0.94764,             0.70311,            0.017522,           0.0030971,            0.011286,            0.005578,            0.005578,            0.005578
                  69,            0.020285,           0.0095539,            0.018997,             0.85601,             0.86152,             0.93462,             0.73881,            0.015767,             0.00315,            0.011649,            0.005512,            0.005512,            0.005512
                  70,            0.020485,           0.0096613,             0.01964,             0.84701,             0.83592,             0.93151,             0.68302,             0.01772,           0.0031479,            0.011816,            0.005446,            0.005446,            0.005446
                  71,             0.02046,           0.0094607,            0.019185,              0.8747,             0.85639,             0.92537,             0.71195,            0.016024,           0.0032676,            0.012086,             0.00538,             0.00538,             0.00538
                  72,            0.020419,           0.0096165,            0.019096,             0.87438,             0.86519,             0.93925,             0.70663,            0.016251,           0.0030596,            0.011748,            0.005314,            0.005314,            0.005314
                  73,            0.020478,           0.0094721,            0.017488,             0.86711,             0.87264,             0.92754,             0.72847,            0.015345,           0.0032287,            0.012088,            0.005248,            0.005248,            0.005248
                  74,            0.020678,           0.0093915,            0.017867,             0.88381,             0.87813,             0.94173,             0.72679,            0.016018,           0.0031776,           0.0099072,            0.005182,            0.005182,            0.005182
                  75,            0.019829,           0.0092673,            0.017756,             0.88177,             0.87477,             0.93561,             0.74681,            0.015457,           0.0030613,            0.011202,            0.005116,            0.005116,            0.005116
                  76,            0.019707,           0.0094306,            0.017487,             0.90397,             0.88018,             0.94001,             0.73603,            0.015416,           0.0031865,           0.0099936,             0.00505,             0.00505,             0.00505
                  77,            0.019471,           0.0094142,              0.0172,             0.84109,             0.86712,             0.92755,             0.74552,             0.01503,           0.0031046,            0.011904,            0.004984,            0.004984,            0.004984
                  78,            0.019602,           0.0093611,            0.017598,             0.89349,             0.85225,             0.93729,             0.70973,            0.017481,           0.0032337,            0.010892,            0.004918,            0.004918,            0.004918
                  79,            0.019426,            0.009209,            0.017254,             0.89703,               0.877,             0.94486,              0.7322,            0.016332,           0.0031491,           0.0099996,            0.004852,            0.004852,            0.004852
                  80,            0.019551,           0.0093314,            0.015939,             0.88009,             0.89595,              0.9473,             0.74724,            0.015393,           0.0032215,            0.010817,            0.004786,            0.004786,            0.004786
                  81,            0.019389,           0.0089474,            0.015705,             0.87328,             0.83074,             0.92321,              0.7345,            0.015847,            0.003065,            0.012311,             0.00472,             0.00472,             0.00472
